model,tokenization,alpha,ppl,unk_flag,unk_threshold,merges,lower
unigram,whitespace,1.0,294.4821,,,,
unigram,BPE,1.0,331.4118,,,,
bigram,whitespace,0.0,43930.512142,no_unk,-,1000.0,True
bigram,whitespace,0.0,5854.995796,with_unk,1,1000.0,True
bigram,whitespace,0.0,3395.161182,with_unk,2,1000.0,True
bigram,whitespace,0.5,759.06836,no_unk,-,1000.0,True
bigram,whitespace,0.5,316.724179,with_unk,1,1000.0,True
bigram,whitespace,0.5,227.706382,with_unk,2,1000.0,True
bigram,whitespace,1.0,1048.131494,no_unk,-,1000.0,True
bigram,whitespace,1.0,429.084062,with_unk,1,1000.0,True
bigram,whitespace,1.0,301.144218,with_unk,2,1000.0,True
bigram,BPE,0.0,876.336065,no_unk,-,1000.0,True
bigram,BPE,0.0,876.336065,with_unk,1,1000.0,True
bigram,BPE,0.0,876.673875,with_unk,2,1000.0,True
bigram,BPE,0.5,121.797511,no_unk,-,1000.0,True
bigram,BPE,0.5,120.889644,with_unk,1,1000.0,True
bigram,BPE,0.5,120.33113,with_unk,2,1000.0,True
bigram,BPE,1.0,156.347288,no_unk,-,1000.0,True
bigram,BPE,1.0,154.928538,with_unk,1,1000.0,True
bigram,BPE,1.0,154.055106,with_unk,2,1000.0,True
bigram,whitespace,0.1,141.075068,with_unk,2,1000.0,True
bigram,whitespace,0.15,155.079999,with_unk,2,1000.0,True
bigram,whitespace,0.2,167.691763,with_unk,2,1000.0,True
bigram,whitespace,0.25,179.271375,with_unk,2,1000.0,True
bigram,whitespace,0.3,190.0516,with_unk,2,1000.0,True
bigram,whitespace,0.35,200.18865,with_unk,2,1000.0,True
bigram,whitespace,0.4,209.792682,with_unk,2,1000.0,True
bigram,whitespace,0.45,218.94471,with_unk,2,1000.0,True
bigram,whitespace,0.5,227.706382,with_unk,2,1000.0,True
bigram,whitespace,0.55,236.125929,with_unk,2,1000.0,True
bigram,whitespace,0.6,244.241965,with_unk,2,1000.0,True
bigram,whitespace,0.65,252.085997,with_unk,2,1000.0,True
bigram,whitespace,0.7,259.68416,with_unk,2,1000.0,True
bigram,whitespace,0.75,267.058432,with_unk,2,1000.0,True
bigram,whitespace,0.8,274.227518,with_unk,2,1000.0,True
bigram,BPE,0.1,84.624421,with_unk,2,1000.0,True
bigram,BPE,0.15,89.569616,with_unk,2,1000.0,True
bigram,BPE,0.2,94.480207,with_unk,2,1000.0,True
bigram,BPE,0.25,99.221176,with_unk,2,1000.0,True
bigram,BPE,0.3,103.773839,with_unk,2,1000.0,True
bigram,BPE,0.35,108.146571,with_unk,2,1000.0,True
bigram,BPE,0.4,112.353937,with_unk,2,1000.0,True
bigram,BPE,0.45,116.410888,with_unk,2,1000.0,True
bigram,BPE,0.5,120.33113,with_unk,2,1000.0,True
bigram,BPE,0.55,124.126769,with_unk,2,1000.0,True
bigram,BPE,0.6,127.808373,with_unk,2,1000.0,True
bigram,BPE,0.65,131.385149,with_unk,2,1000.0,True
bigram,BPE,0.7,134.865133,with_unk,2,1000.0,True
bigram,BPE,0.75,138.255376,with_unk,2,1000.0,True
bigram,BPE,0.8,141.562086,with_unk,2,1000.0,True
bigram,whitespace,0.01,115.517799,with_unk,2,1000.0,True
bigram,whitespace,0.02,115.905769,with_unk,2,1000.0,True
bigram,whitespace,0.03,118.650213,with_unk,2,1000.0,True
bigram,whitespace,0.04,121.891068,with_unk,2,1000.0,True
bigram,whitespace,0.05,125.23078,with_unk,2,1000.0,True
bigram,whitespace,0.06,128.547605,with_unk,2,1000.0,True
bigram,whitespace,0.07,131.799417,with_unk,2,1000.0,True
bigram,whitespace,0.08,134.972319,with_unk,2,1000.0,True
bigram,whitespace,0.09,138.063574,with_unk,2,1000.0,True
bigram,BPE,0.01,84.96996,with_unk,2,1000.0,True
bigram,BPE,0.02,81.144276,with_unk,2,1000.0,True
bigram,BPE,0.03,80.129086,with_unk,2,1000.0,True
bigram,BPE,0.04,80.076628,with_unk,2,1000.0,True
bigram,BPE,0.05,80.472556,with_unk,2,1000.0,True
bigram,BPE,0.06,81.109844,with_unk,2,1000.0,True
bigram,BPE,0.07,81.888086,with_unk,2,1000.0,True
bigram,BPE,0.08,82.752659,with_unk,2,1000.0,True
bigram,BPE,0.09,83.671435,with_unk,2,1000.0,True
bigram,whitespace,0.5,759.165487,with_unk,0,1000.0,True
bigram,whitespace,0.5,316.724179,with_unk,1,1000.0,True
bigram,whitespace,0.5,227.706382,with_unk,2,1000.0,True
bigram,whitespace,0.5,181.246971,with_unk,3,1000.0,True
bigram,whitespace,0.5,149.044534,with_unk,4,1000.0,True
bigram,BPE,0.5,121.867286,with_unk,0,1000.0,True
bigram,BPE,0.5,120.889644,with_unk,1,1000.0,True
bigram,BPE,0.5,120.33113,with_unk,2,1000.0,True
bigram,BPE,0.5,119.41985,with_unk,3,1000.0,True
bigram,BPE,0.5,118.540894,with_unk,4,1000.0,True
